id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1067748,Aparthotel in Khet Sathon ?? ?òÖ4.61 ?? 1 bedroom ?? 1 bed ?? 1 private bath,4154759,Mimi,,Sathon,13.71498,100.53312,Private room,1200,1,43,5/5/2023,0.46,4,65,12,
742497,Home in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,3837874,Fr,,Samphanthawong,13.73989,100.50179,Private room,1761,5,1,18/8/2013,0.01,1,365,0,
313459,Home in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,1611711,Nichapat,,Khlong Toei,13.71513,100.5683,Private room,2264,1,0,,,1,0,0,
742693,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,3888806,Nulek,,Khlong Toei,13.72062,100.58019,Entire home/apt,1761,2,0,,,1,365,0,
1079039,Condo in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,5935474,Tisa,,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,,,1,180,0,
1086843,Parking space in Bangkok ?? 1 bedroom ?? 1 bed ?? 2 shared baths,4937984,Sugarcane,,Phra Nakhon,13.75135,100.49447,Shared room,5283,1,0,,,1,0,0,
320014,Rental unit in Bangkok ?? ?òÖ4.61 ?? 2 bedrooms ?? 2 beds ?? 2 baths,843854,Anshera,,Khlong Toei,13.7281,100.57318,Entire home/apt,1761,30,71,27/5/2023,0.51,1,124,5,
1088343,Rental unit in Bangkok ?? ?òÖ4.76 ?? 2 bedrooms ?? 2 beds ?? 2 baths,5981006,Sibyl,,Vadhana,13.7104,100.60171,Entire home/apt,2395,30,19,4/1/2020,0.16,1,336,0,
758483,Condo in Bangkok ?? ?òÖ4.70 ?? 1 bedroom ?? 1 bed ?? 1 bath,1774390,Add,,Vadhana,13.73595,100.58375,Entire home/apt,2430,30,62,30/1/2020,0.48,2,364,0,
385130,Rental unit in Bangkok ?? ?òÖ4.61 ?? 1 bedroom ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,743,1,409,28/4/2023,2.98,39,351,14,
768019,Villa in Bangkok ?? ?òÖ4.75 ?? 2 bedrooms ?? 3 beds ?? 3 baths,2975807,Ingo,,Vadhana,13.73668,100.56693,Entire home/apt,4226,28,5,30/4/2023,0.04,2,228,1,
1094136,Condo in Bangkok ?? ?òÖ4.64 ?? Studio ?? 2 beds ?? 1.5 baths,5793490,Nicky,,Bang Kho laen,13.69949,100.52725,Entire home/apt,880,1,22,20/4/2023,0.21,6,89,5,
385278,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 0 baths,1928343,Chanvit,,Rat Burana,13.68426,100.49841,Private room,1585,1,0,,,1,0,0,
1133843,Aparthotel in Khet Thon Buri ?? 1 bedroom ?? 1 bed ?? 0 shared baths,6220137,Prapussorn,,Thon buri,13.72646256,100.4912934,Private room,800,1,0,,,1,0,0,
385979,Rental unit in Bangkok ?? ?òÖ4.79 ?? 2 bedrooms ?? 2 beds ?? 2 baths,1681901,Pornpan,,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,81,7/4/2023,0.6,1,365,1,
1138679,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,4877320,Nisa,,Suanluang,13.71119,100.63334,Entire home/apt,986,21,1,1/7/2013,0.01,2,365,0,
1141969,Condo in Bangkok ?? ?òÖ4.88 ?? 2 bedrooms ?? 1 bed ?? 2 baths,6262801,Andrea,,Bang Rak,13.72687,100.52326,Entire home/apt,5987,30,8,22/1/2019,0.07,1,358,0,
801844,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,121622,Anchalee,,Bang Kapi,13.75878,100.64988,Entire home/apt,528,4,1,9/11/2016,0.01,1,0,0,
390611,Condo in Bangkok ?? ?òÖ4.56 ?? Studio ?? 2 beds ?? 1 bath,807406,Hollis,,Khlong Toei,13.74052,100.55237,Entire home/apt,810,1,192,20/6/2023,1.41,1,95,9,
393066,Rental unit in Bangkok ?? ?òÖ4.50 ?? Studio ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,800,1,449,9/6/2023,3.38,39,335,25,
808870,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,4255924,Arnaud,,Khlong Toei,13.73684,100.55488,Private room,1500,7,0,,,1,0,0,
1151862,Home in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,6313832,Psirivedin,,Don Mueang,13.9277,100.58757,Private room,1250,1,0,,,1,0,0,
397449,"Rental unit in Silom, Bangrak ?? ?òÖ4.58 ?? 1 bedroom ?? 1 bed ?? 1 private bath",263049,Tor,,Sathon,13.71782,100.51622,Private room,950,1,40,8/4/2023,0.29,7,337,3,
1155399,Rental unit in Bangkok ?? 1 bedroom ?? 3 beds ?? 2 baths,6329126,Borisut,,Ratchathewi,13.75086,100.55932,Private room,2000,180,1,12/1/2017,0.01,1,0,0,
405662,Condo in  Bangkok ?? ?òÖ4.84 ?? 1 bedroom ?? 1 bed ?? 1 bath,1425515,Peter,,Vadhana,13.73816,100.56495,Entire home/apt,1400,28,32,31/10/2022,0.24,2,160,2,
1160838,Serviced apartment in Phayathai ?? ?òÖ4.83 ?? 2 bedrooms ?? 2 beds ?? 2 baths,1513875,Suchada,,Phaya Thai,13.7736,100.54079,Entire home/apt,1971,1,207,20/6/2023,2.06,4,357,148,
811670,Home in Bangkok ?? ?òÖ4.58 ?? 2 bedrooms ?? 2 beds ?? 2 baths,4268095,Ann,,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,27,27/1/2023,0.21,1,330,3,
818612,Guesthouse in Bangkok ?? ?òÖ5.0 ?? 1 bedroom ?? 2 beds ?? 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,8,21/2/2023,0.07,8,171,1,
407381,Rental unit in Bangkok ?? ?òÖ4.77 ?? 2 bedrooms ?? 3 beds ?? 3 baths,1463818,Amporn,,Vadhana,13.73675,100.57191,Entire home/apt,3803,7,18,14/9/2022,0.14,1,64,1,
820395,Guesthouse in Bangkok ?? ?òÖ4.77 ?? 1 bedroom ?? 1 bed ?? 1 bath,822284,Rae And Charlie,,Bang Sue,13.83026,100.52082,Entire home/apt,700,7,13,14/2/2018,0.1,8,88,0,
1187726,Condo in Bangkok ?? ?òÖ4.56 ?? 1 bedroom ?? 1 bed ?? 1 bath,5402740,Nattha,,Phaya Thai,13.77808,100.5416,Entire home/apt,1000,120,18,15/3/2021,0.36,1,365,0,
413824,Rental unit in Bangkok ?? ?òÖ4.53 ?? 1 bedroom ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,629,1,340,12/6/2023,2.66,39,362,15,
1206077,Rental unit in Bangkok ?? ?òÖ4.83 ?? 1 bedroom ?? 1 bed ?? 1 bath,6586465,Tayawat,,Phaya Thai,13.77776,100.54353,Entire home/apt,2990,9,36,24/5/2023,0.32,1,179,2,
1208204,Condo in Wattana ?? ?òÖ4.70 ?? 1 bedroom ?? 1 bed ?? 1 bath,766443,Gerd,,Vadhana,13.73757,100.55996,Entire home/apt,1613,3,225,31/5/2023,1.9,5,175,32,
1218098,Rental unit in Bangkok ?? ?òÖ4.69 ?? 1 bedroom ?? 1 bed ?? 1 bath,6647138,NiNew,,Lak Si,13.88974,100.56257,Private room,800,1,27,8/4/2016,0.22,4,360,0,
822214,Home in Bangkok ?? ?òÖ5.0 ?? 2 bedrooms ?? 3 beds ?? 1 bath,822284,Rae And Charlie,,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,23,18/3/2023,0.18,8,170,3,
837342,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,3533863,Sarasinee,,Phaya Thai,13.78832,100.56145,Private room,1057,3,0,,,4,0,0,
428360,Rental unit in Bangkok ?? ?òÖ4.56 ?? 2 bedrooms ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Yan na wa,13.69673,100.53202,Entire home/apt,1163,200,35,4/3/2019,0.26,44,365,0,
428421,Rental unit in Bangkok ?? ?òÖ4.79 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,40,24/10/2018,0.3,44,365,0,
1218842,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,6648722,Taweewat  (Ken),,Phaya Thai,13.78148,100.54868,Private room,1107,2,1,4/1/2019,0.02,2,365,0,
428907,Rental unit in Bangkok ?? ?òÖ4.42 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69977,100.52652,Entire home/apt,845,365,14,1/11/2013,0.11,44,270,0,
851956,Rental unit in Bangkok ?? ?òÖ4.76 ?? 1 bedroom ?? 1 bed ?? 1.5 baths,4100838,Siri,,Khlong Toei,13.70486,100.60152,Entire home/apt,900,21,38,18/6/2023,0.3,3,263,6,
428950,Rental unit in Bangkok ?? ?òÖ4.61 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,128,1/1/2023,0.96,44,365,6,
1227663,Rental unit in Bangkok ?? ?òÖ4.86 ?? 1 bedroom ?? 1 bed ?? 1 bath,5469059,Andrew,,Parthum Wan,13.74088,100.54102,Entire home/apt,3220,10,124,13/6/2023,1.01,1,296,5,
430691,Rental unit in Bangkok ?? ?òÖ4.65 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70068,100.5228,Entire home/apt,850,1,27,7/5/2023,0.23,44,299,1,
852063,Rental unit in Bangkok ?? ?òÖ4.92 ?? 2 bedrooms ?? 2 beds ?? 2 baths,4396467,Sujin,,Sathon,13.71972,100.54924,Entire home/apt,1693,30,26,5/1/2023,0.2,2,0,3,
430703,Rental unit in Bangkok ?? ?òÖ4.65 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,51,22/1/2023,0.39,44,365,6,
430706,Rental unit in Bangkok ?? ?òÖ5.0 ?? 1 bedroom ?? 1 bed,2129668,Wimonpak,,Bang Kho laen,13.70086,100.52276,Entire home/apt,1299,365,8,28/6/2013,0.06,44,365,0,
1235695,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,4583001,Suchela,,Phaya Thai,13.78761,100.55319,Entire home/apt,634,365,0,,,2,0,0,
432004,Rental unit in Bangkok ?? ?òÖ4.29 ?? 1 bedroom ?? 1 bed ?? 1 bath,2148220,Marvin,,Sathon,13.71922,100.5255,Private room,1479,1,14,23/2/2017,0.11,3,0,0,
852308,Rental unit in Bangkok ?? 3 bedrooms ?? 1 bed ?? 1.5 shared baths,4414621,Catroom,,Bang Rak,13.7318,100.52351,Private room,980,1,0,,,1,365,0,
439051,Serviced apartment in Bangkok ?? ?òÖ4.83 ?? 1 bedroom ?? 1 bed ?? 1 bath,2122791,Maam & Hermann,,Yan na wa,13.67317,100.54406,Hotel room,1585,2,120,28/2/2020,0.89,1,365,0,
854660,Home in Bangkok ?? 1 bedroom ?? 1 bed ?? 2 baths,931710,Jeremy,,Nong Chok,13.77671,100.8389,Entire home/apt,8804,1,2,9/5/2023,0.02,2,0,1,
1244333,Guesthouse in Khet Phaya Thai ?? ?òÖ4.67 ?? 1 bedroom ?? 2 beds ?? 1 private bath,2087671,Apipu,,Phaya Thai,13.79221,100.54631,Private room,399,1,33,15/3/2020,0.69,1,0,0,
449782,Rental unit in Bangkok ?? ?òÖ4.61 ?? Studio ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,65,29/4/2023,0.49,44,180,6,
1255386,Rental unit in Dusit ?? 1 bedroom ?? 3 beds ?? 1 private bath,6838199,Sirikamol,,Dusit,13.77073,100.50478,Private room,7500,1,0,,,3,0,0,
856426,Home in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,931710,Jeremy,,Nong Chok,13.77618,100.83883,Entire home/apt,3523,2,1,10/3/2016,0.01,2,360,0,
449826,Loft in Bangkok ?? ?òÖ4.64 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70218,100.52254,Entire home/apt,750,2,43,15/4/2023,0.33,44,294,5,
858311,Condo in Bangkok ?? ?òÖ4.84 ?? 2 bedrooms ?? 3 beds ?? 3.5 baths,4491588,Donzo,,Khlong San,13.72135,100.508,Entire home/apt,4400,2,280,23/6/2023,2.22,1,189,48,
1296322,Rental unit in Bangkok ?? ?òÖ4.48 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Sathon,13.71425,100.51332,Entire home/apt,700,1,217,2/4/2023,1.79,44,359,17,
450464,Rental unit in Bangkok ?? ?òÖ4.62 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70039,100.52806,Entire home/apt,790,1,45,7/2/2023,0.43,44,365,8,
1302302,Condo in Bangkok ?? ?òÖ4.83 ?? 2 bedrooms ?? 2 beds ?? 2 baths,6132593,Salvatore,,Sathon,13.72027,100.52851,Entire home/apt,3200,2,141,27/4/2023,1.18,7,155,8,
527553,Condo in Bangkok ?? ?òÖ5.0 ?? 1 bedroom ?? 1 bed ?? 1 bath,2592798,Nokina,,Chatu Chak,13.82841,100.57103,Entire home/apt,1021,2,24,22/7/2018,0.18,2,0,0,
1316688,Rental unit in Bangkok ?? ?òÖ4.85 ?? 1 bedroom ?? 1 bed ?? 1 bath,5394070,Eva,,Khlong Toei,13.72242,100.57962,Entire home/apt,1514,30,81,7/10/2022,0.68,1,143,1,
858338,Rental unit in Bangkok ?? ?òÖ4.55 ?? Studio ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,800,1,284,31/5/2023,2.24,39,362,13,
534241,Condo in Bangkok ?? 3 bedrooms ?? 4 beds ?? 3 baths,2625384,Mike,,Chatu Chak,13.80994,100.5651,Entire home/apt,4228,30,0,,,1,365,0,
861105,Home in Bangkok ?? ?òÖ4.88 ?? 2 bedrooms ?? 4 beds ?? 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,42,27/4/2023,0.33,8,167,5,
1323380,Home in Bangkok ?? 1 bedroom,2975807,Ingo,,Vadhana,13.74618,100.55168,Private room,9600,28,1,19/6/2017,0.01,2,365,0,
580270,Rental unit in Bangkok ?? ?òÖ4.68 ?? Studio ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,707,1,102,3/4/2023,0.98,39,350,15,
1338281,Loft in Bangkok ?? ?òÖ4.41 ?? 2 bedrooms ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Sathon,13.71506,100.51319,Entire home/apt,1000,1,118,22/4/2023,0.98,44,319,1,
1338489,Rental unit in Bangkok ?? ?òÖ4.54 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Sathon,13.7133,100.51337,Entire home/apt,999,1,160,7/6/2023,1.32,44,170,14,
863341,Condo in Bangkok ?? ?òÖ4.30 ?? 1 bedroom ?? 1 bed ?? 1 bath,4474838,Sue,,Yan na wa,13.67907,100.52887,Entire home/apt,951,28,27,25/4/2023,0.26,5,365,1,
863669,Condo in Bangkok ?? ?òÖ4.65 ?? 2 bedrooms ?? 2 beds ?? 2 baths,4474838,Sue,,Khlong San,13.72162,100.5075,Entire home/apt,2290,7,94,9/4/2023,0.76,5,317,5,
581755,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,2864425,Urcha,,Bang Kapi,13.75056,100.60844,Private room,1338,5,1,3/12/2013,0.01,1,0,0,
